gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	regulation
ENSG00000162441	604	1432	583	144	152	266	672	466	UP
ENSG00000228150	26	55	28	5	5	11	31	17	UP
ENSG00000173614	101	584	213	52	103	85	282	226	UP
ENSG00000202415	5	19	3	0	2	6	3	2	UP
ENSG00000162444	25	5	2	0	4	8	1	0	UP
ENSG00000130939	2616	4480	2386	533	2928	1619	3736	2712	UP
ENSG00000224340	3	5	2	0	1	2	1	3	UP
ENSG00000233623	18	13	6	1	2	3	6	5	UP
ENSG00000201746	14	11	8	1	9	8	9	8	UP
ENSG00000054523	1166	3035	931	226	568	587	2948	2041	UP
ENSG00000142657	999	3211	2380	551	941	737	3907	2894	UP
ENSG00000251503	5	7	2	1	5	1	7	5	UP
ENSG00000175279	15	29	20	5	8	5	24	20	UP
ENSG00000241563	14	27	14	3	12	3	21	19	UP
ENSG00000160049	993	3240	1031	274	292	483	2440	1681	UP
ENSG00000142655	670	990	533	134	199	275	602	484	UP
ENSG00000243267	21	3	5	0	3	4	8	6	UP
ENSG00000130940	659	1404	1169	222	478	443	859	659	UP
ENSG00000272078	186	244	168	37	39	77	141	104	UP
ENSG00000175262	7	4	13	4	1	2	0	0	UP
ENSG00000215785	10	7	4	0	1	0	2	3	UP
ENSG00000120948	5889	7608	4257	1006	2315	3292	7044	4524	UP
ENSG00000009724	945	590	550	121	264	213	523	369	UP
ENSG00000271895	252	113	119	20	51	44	102	53	UP
ENSG00000116649	531	1071	672	170	100	297	750	553	UP
ENSG00000171824	3690	6632	4965	1120	2740	2678	6123	4201	UP
ENSG00000226849	61	49	27	7	7	24	45	30	UP
ENSG00000230337	5	3	1	1	2	0	3	2	UP
ENSG00000198793	3456	9098	3907	966	3126	2053	6601	4801	UP
ENSG00000225602	18	10	6	0	6	4	6	19	UP
ENSG00000253086	2	2	0	1	0	0	1	0	UP
ENSG00000171819	5	11	3	3	4	4	7	8	UP
ENSG00000207451	1	0	0	0	1	2	0	2	UP
ENSG00000120942	1086	1550	1035	263	548	800	1120	910	UP
ENSG00000238199	38	20	21	13	6	16	17	16	UP
ENSG00000204624	14	47	11	3	24	14	12	8	UP
ENSG00000116661	193	139	39	13	38	85	30	26	UP
ENSG00000132879	2773	1422	558	126	447	777	509	382	UP
ENSG00000116663	313	578	236	45	59	102	200	157	UP
ENSG00000116670	459	909	355	71	161	207	365	283	UP
ENSG00000162490	13	13	1	3	25	61	1	0	UP
ENSG00000177674	317	336	59	20	21	106	86	47	UP
ENSG00000215910	1	2	0	0	0	2	3	6	UP
ENSG00000177000	4180	4832	3243	727	1430	1492	2521	1932	UP
ENSG00000011021	5130	5128	3145	723	2360	2485	4305	3248	UP
ENSG00000242349	20	23	17	6	11	15	6	1	UP
ENSG00000175206	30	33	23	4	24	28	17	13	UP
ENSG00000120937	0	3	0	2	5	1	0	2	UP
ENSG00000199347	13	2	6	0	45	3	5	4	UP
ENSG00000201801	10	2	9	1	40	6	1	1	UP
ENSG00000116685	1073	2904	2190	467	294	813	1743	1293	UP
ENSG00000083444	324	213	93	15	88	198	83	55	UP
ENSG00000116688	3443	7282	4551	1017	2307	2934	6380	4721	UP
ENSG00000116691	1733	1702	830	175	179	499	836	645	UP
ENSG00000202461	19	21	5	1	2	6	7	9	UP
ENSG00000120949	60	74	54	15	3	12	13	9	UP
ENSG00000028137	3577	12800	10291	2504	876	4049	4686	3561	UP
ENSG00000048707	4904	12752	7866	1870	4766	4431	8473	6245	UP
ENSG00000239149	28	44	36	9	22	20	18	15	UP
ENSG00000229484	2	1	4	1	14	1	1	0	UP
ENSG00000162496	35	78	27	3	34	189	10	4	UP
ENSG00000179172	1	2	0	4	0	2	5	5	UP
ENSG00000162493	1	6	1459	338	6	18	0	0	UP
ENSG00000253085	4	0	1	0	1	0	3	2	UP
ENSG00000116731	37515	50743	38175	8908	14765	23013	42161	29399	UP
ENSG00000189337	1	8	1	1	10	0	5	4	UP
ENSG00000171729	12	21	1	0	4	4	2	0	UP
ENSG00000142621	5	24	0	0	4	8	2	5	UP
ENSG00000228140	3	6	7	0	7	33	2	2	UP
ENSG00000142634	2369	2958	4002	912	444	2694	3425	2586	UP
ENSG00000162438	14	27	38	7	18	38	36	33	UP
ENSG00000142615	5	8	4	3	25	3	25	26	UP
ENSG00000215704	19	37	46	12	25	24	60	72	UP
ENSG00000132906	845	1546	1053	224	421	720	1104	938	UP
ENSG00000116138	1768	3490	1203	302	517	835	1991	1438	UP
ENSG00000272510	3	1	3	0	0	1	4	3	UP
ENSG00000116771	251	126	31	14	22	43	69	51	UP
ENSG00000237301	22	8	8	1	5	9	13	5	UP
ENSG00000235084	19	22	3	3	1	5	14	12	UP
ENSG00000197312	3270	6977	6955	1698	1649	2224	6687	4569	UP
ENSG00000271742	3	2	1	0	0	2	0	1	UP
ENSG00000116786	3760	8136	5312	1161	1614	2906	6118	4714	UP
ENSG00000237938	121	188	117	24	27	90	155	140	UP
ENSG00000162461	66	195	157	34	18	33	96	56	UP
ENSG00000162458	2	8	1	1	6	0	3	1	UP
ENSG00000224321	2	2	0	0	2	1	0	2	UP
ENSG00000233954	515	822	377	78	308	120	486	220	UP
ENSG00000178715	80	15	7	1	8	26	72	50	UP
ENSG00000179743	167	210	138	29	56	73	95	66	UP
ENSG00000065526	14606	22731	13065	2911	6098	8008	21147	16139	UP
ENSG00000270620	3	8	3	0	4	3	5	2	UP
ENSG00000116809	3078	4060	2757	582	631	1801	2460	1903	UP
ENSG00000234607	8	15	2	2	2	1	11	9	UP
ENSG00000173641	8	2	1	3	5	6	8	7	UP
ENSG00000186510	16	11	2	1	9	9	26	16	UP
ENSG00000142627	1	12	4	4	8	5	3	5	UP
ENSG00000142632	288	611	154	32	45	120	380	320	UP
ENSG00000237276	22	27	12	3	20	6	17	14	UP
ENSG00000132881	64	198	107	26	18	21	106	79	UP
ENSG00000233929	11	18	11	3	8	2	20	18	UP
ENSG00000037637	1356	3057	1790	435	723	908	2432	1745	UP
ENSG00000055070	3517	4084	2930	675	730	2062	4075	3019	UP
ENSG00000226457	4	6	1	4	0	3	3	2	UP
ENSG00000187144	10	29	11	4	19	12	15	18	UP
ENSG00000157191	1766	5626	3102	685	450	1094	3358	2481	UP
ENSG00000226029	204	311	118	21	32	49	267	247	UP
ENSG00000080947	915	523	236	38	128	252	305	252	UP
ENSG00000206652	14	5	2	3	6	0	4	2	UP
ENSG00000261135	10	14	3	2	1	2	0	1	UP
ENSG00000233421	13	16	1	0	2	4	2	0	UP
ENSG00000268991	1	1	0	1	0	0	0	0	UP
ENSG00000219481	2727	6208	1491	334	515	356	3173	2384	UP
ENSG00000271732	7	6	9	1	0	2	4	5	UP
ENSG00000215908	4075	4204	2492	566	294	1311	1426	1223	UP
ENSG00000186301	291	162	88	25	18	28	31	25	UP
ENSG00000280114	109	17	37	4	3	1	8	3	UP
ENSG00000236698	53	102	68	19	35	47	102	76	UP
ENSG00000268869	113	30	62	22	1	2	9	12	UP
ENSG00000279151	3	0	0	0	0	1	0	0	UP
ENSG00000058453	1153	1538	1168	282	249	747	745	552	UP
ENSG00000186715	187	43	38	11	35	9	30	33	UP
ENSG00000223643	1	0	0	0	0	0	0	0	UP
ENSG00000230239	1	4	13	5	0	0	0	0	UP
ENSG00000228549	27	99	4	4	2	3	2	1	UP
ENSG00000238142	21	155	23	5	4	13	18	16	UP
ENSG00000235241	6	38	16	2	0	5	11	4	UP
ENSG00000207005	5	1	1	2	13	3	2	1	UP
ENSG00000272426	2	9	5	0	4	4	4	5	UP
ENSG00000117122	0	5	2	2	2	0	3	2	UP
ENSG00000159363	605	2979	959	198	140	465	1990	1649	UP
ENSG00000117118	1125	2487	1314	276	745	801	1662	1113	UP
ENSG00000117115	22	12	78	26	41	36	12	6	UP
ENSG00000159339	47	11	0	0	1	18	2	0	UP
ENSG00000179051	4699	6849	4043	901	3060	3137	6358	4861	UP
ENSG00000074964	990	4161	684	139	404	295	1548	1294	UP
ENSG00000159423	51	138	80	17	33	34	40	43	UP
ENSG00000169991	337	657	1536	340	1750	1595	745	588	UP
ENSG00000272084	53	78	55	14	41	41	60	61	UP
ENSG00000127481	12434	46829	31208	7151	13228	11118	49256	38422	UP
ENSG00000230424	19	18	12	1	7	16	14	13	UP
ENSG00000127463	1828	4628	2638	593	1721	1872	3150	2322	UP
ENSG00000053372	849	1042	747	188	384	496	790	581	UP
ENSG00000211454	54	51	37	6	48	24	42	28	UP
ENSG00000162482	51	48	39	9	15	32	31	12	UP
ENSG00000270728	36	68	46	9	20	21	55	49	UP
ENSG00000053371	445	686	225	44	55	126	244	178	UP
ENSG00000200403	2	4	4	1	1	3	5	1	UP
ENSG00000040487	564	673	265	54	121	156	415	331	UP
ENSG00000077549	2957	4339	2713	595	1575	1764	3797	2574	UP
ENSG00000173436	236	409	313	68	72	187	314	210	UP
ENSG00000226396	79	82	116	20	68	187	174	254	UP
ENSG00000158747	2	5	13	6	2	18	1	2	UP
ENSG00000158748	4	10	0	1	3	0	2	3	UP
ENSG00000162542	1365	1090	436	95	353	534	664	534	UP
ENSG00000169914	1361	2915	1997	491	1359	1414	2977	2051	UP
ENSG00000117215	17	0	0	0	0	0	7	8	UP
ENSG00000158786	0	0	0	0	0	0	1	1	UP
ENSG00000227066	0	0	0	0	1	2	3	3	UP
ENSG00000187980	0	5	0	1	0	0	0	1	UP
ENSG00000225986	1	1	2	0	0	0	0	1	UP
ENSG00000162543	12	2	90	15	0	9	147	114	UP
ENSG00000236963	0	0	0	0	0	0	0	0	UP
ENSG00000162545	3	69	16	3	3	26	27	30	UP
ENSG00000090432	1200	1540	848	203	152	688	1198	899	UP
ENSG00000158825	71	2	0	0	3	11	0	0	UP
ENSG00000158828	184	532	338	79	98	216	319	258	UP
ENSG00000117242	199	179	146	42	75	110	136	108	UP
ENSG00000244038	3291	5127	2818	629	774	1884	3362	2360	UP
ENSG00000117245	1	3	4	0	6	0	2	2	UP
ENSG00000189410	7	19	7	1	8	5	24	15	UP
ENSG00000127483	9403	23193	9020	2045	5700	5748	14242	9870	UP
ENSG00000075151	3492	4998	2397	559	1834	1616	2649	1918	UP
ENSG00000235112	1	5	1	0	0	2	3	5	UP
ENSG00000117298	3489	17271	6446	1437	823	1338	18068	13992	UP
ENSG00000236936	3	16	12	6	6	9	23	21	UP
ENSG00000231105	122	118	186	33	19	50	88	75	UP
ENSG00000236216	0	1	0	1	1	0	0	1	UP
ENSG00000228823	1	1	2	0	0	0	0	0	UP
ENSG00000227001	50	6	13	5	12	16	23	11	UP
ENSG00000142794	677	863	312	75	169	283	204	169	UP
ENSG00000162551	1	28	4	0	2	3	2	1	UP
ENSG00000076864	20	23	27	12	35	11	18	14	UP
ENSG00000090686	5905	8556	4252	1066	3080	2671	8763	5956	UP
